num,num_in_list,name,profile,response,level_to_speach,level,classes_to_speach,class,min_class,max_class,prof_subject,stage
171,48,Олимпиада школьников «Ломоносов»,геология,география,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,геология,отборочный и заключительный
172,48,Олимпиада школьников «Ломоносов»,журналистика,журналистика,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,журналистика,отборочный и заключительный
173,48,Олимпиада школьников «Ломоносов»,инженерные науки,химия,третий,3,с пятого по одиннадцатый,с 5 по 11,5,11,"фундаментальная и прикладная химия, прикладные математика и физика",отборочный и заключительный
174,48,Олимпиада школьников «Ломоносов»,иностранный язык,иностранный язык,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,иностранный язык,отборочный и заключительный
175,48,Олимпиада школьников «Ломоносов»,информатика,информатика,второй,2,с седьмого по одиннадцатый,с 7 по 11,7,11,информатика,отборочный и заключительный
176,48,Олимпиада школьников «Ломоносов»,история,история,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,история,отборочный и заключительный
177,48,Олимпиада школьников «Ломоносов»,история российской государственности,история,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,история,отборочный и заключительный
178,48,Олимпиада школьников «Ломоносов»,космонавтика,астрономия,третий,3,с пятого по одиннадцатый,с 5 по 11,5,11,космические исследования и космонавтика,отборочный и заключительный
179,48,Олимпиада школьников «Ломоносов»,литература,литература,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,литература,отборочный и заключительный
180,48,Олимпиада школьников «Ломоносов»,математика,математика,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,математика,отборочный и заключительный
181,48,Олимпиада школьников «Ломоносов»,международные отношения и глобалистика,история,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,история,отборочный и заключительный
182,48,Олимпиада школьников «Ломоносов»,механика и математическое моделирование,математика,второй,2,с седьмого по одиннадцатый,с 7 по 11,7,11,механика и математическое моделирование,отборочный и заключительный
183,48,Олимпиада школьников «Ломоносов»,обществознание,обществознание,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,обществознание,отборочный и заключительный
184,48,Олимпиада школьников «Ломоносов»,политология,политология,второй,2,с седьмого по одиннадцатый,с 7 по 11,7,11,история,отборочный и заключительный
185,48,Олимпиада школьников «Ломоносов»,право,право,первый,1,с восьмого по одиннадцатый,с 8 по 11,8,11,юриспруденция,отборочный и заключительный
186,48,Олимпиада школьников «Ломоносов»,предпринимательство,бизнес,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,менеджмент,отборочный и заключительный
187,48,Олимпиада школьников «Ломоносов»,психология,социология,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,психология,отборочный и заключительный
188,48,Олимпиада школьников «Ломоносов»,религиоведение,история,третий,3,с пятого по одиннадцатый,с 5 по 11,5,11,религиоведение,отборочный и заключительный
189,48,Олимпиада школьников «Ломоносов»,робототехника,информатика,третий,3,с пятого по одиннадцатый,с 5 по 11,5,11,"фундаментальные математика и механика, робототехника, фундаментальная информатика",отборочный и заключительный
190,48,Олимпиада школьников «Ломоносов»,русский язык,русский язык,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,русский язык,отборочный и заключительный
191,48,Олимпиада школьников «Ломоносов»,физика,физика,второй,2,с седьмого по одиннадцатый,с 7 по 11,7,11,физика,отборочный и заключительный
192,48,Олимпиада школьников «Ломоносов»,философия,литература,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,обществознание,отборочный и заключительный
193,48,Олимпиада школьников «Ломоносов»,химия,химия,первый,1,с седьмого по одиннадцатый,с 7 по 11,7,11,химия,отборочный и заключительный
194,48,Олимпиада школьников «Ломоносов»,экология,биология,второй,2,с пятого по одиннадцатый,с 5 по 11,5,11,"почвоведение, экология
и природопользование",отборочный и заключительный
195,49,Олимпиада школьников «Надежда энергетики»,физика,физика,третий,3,с седьмого по одиннадцатый,с 7 по 11,7,11,физика,"тренировочный, отборочный и финал"
196,50,Олимпиада школьников «Покори Воробьевы горы!»,география,география,второй,2,с пятого по одиннадцатый,с 5 по 11,5,11,география,отборочный и заключительный
197,50,Олимпиада школьников «Покори Воробьевы горы!»,журналистика,журналистика,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,журналистика,отборочный и заключительный
198,50,Олимпиада школьников «Покори Воробьевы горы!»,иностранный язык,иностранный язык,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,иностранный язык,отборочный и заключительный
199,50,Олимпиада школьников «Покори Воробьевы горы!»,история,история,второй,2,с пятого по одиннадцатый,с 5 по 11,5,11,история,отборочный и заключительный
200,50,Олимпиада школьников «Покори Воробьевы горы!»,литература,литература,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,литература,отборочный и заключительный
201,50,Олимпиада школьников «Покори Воробьевы горы!»,математика,математика,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,математика,отборочный и заключительный
202,50,Олимпиада школьников «Покори Воробьевы горы!»,обществознание,обществознание,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,обществознание,отборочный и заключительный
203,50,Олимпиада школьников «Покори Воробьевы горы!»,физика,физика,первый,1,с пятого по одиннадцатый,с 5 по 11,5,11,физика,отборочный и заключительный
204,51,Олимпиада школьников «Робофест»,физика,физика,второй,2,с седьмого по одиннадцатый,с 7 по 11,7,11,физика,"подготовительный, пригласительный, региональный тур и финал"
205,52,Олимпиада школьников «Физтех»,биология,биология,второй,2,с девятого по одиннадцатый,с 9 по 11,9,11,биология,отборочный и заключительный
206,52,Олимпиада школьников «Физтех»,математика,математика,первый,1,с девятого по одиннадцатый,с 9 по 11,9,11,математика,отборочный и заключительный
207,52,Олимпиада школьников «Физтех»,физика,физика,первый,1,с девятого по одиннадцатый,с 9 по 11,9,11,физика,отборочный и заключительный
208,53,Олимпиада школьников «Шаг в будущее»,инженерное дело,информатика,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,"компьютерные и информационные науки, информатика и вычислительная техника, электроника, радиотехника ",отборочный и заключительный
209,53,Олимпиада школьников «Шаг в будущее»,компьютерное моделирование и графика,информатика,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,"компьютерные и информационные науки, информатика и вычислительная техника, электроника, радиотехника ",отборочный и заключительный
210,53,Олимпиада школьников «Шаг в будущее»,математика,математика,третий,3,с восьмого по одиннадцатый,с 8 по 11,8,11,математика,отборочный и заключительный
211,53,Олимпиада школьников «Шаг в будущее»,программирование,информатика,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,информатика и вычислительная техника,отборочный и заключительный
212,53,Олимпиада школьников «Шаг в будущее»,физика,физика,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,физика,отборочный и заключительный
213,54,Олимпиада школьников по информатике и программированию,информатика,информатика,первый,1,в одиннадцатом,в 11,11,11,информатика,"первый отборочный, второй отборочный и заключительный"
214,55,Олимпиада школьников по программированию «ТехноКубок»,информатика,информатика,второй,2,с восьмого по одиннадцатый,с 8 по 11,8,11,информатика,отборочный и заключительный
